title,price,count,rating,info_dict
Бомбер оверсайз утепленный,2461,32,4.7,"{'Цвет': 'черный', 'Размер на модели': 'S', 'Рост модели на фото': '171 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '79-61-91', 'Утеплитель': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'нет', 'Декоративные элементы': 'без элементов', 'Тип карманов': 'прорезные', 'Сезон': 'круглогодичный', 'Артикул': '172747208', 'Состав': 'полиэстер 100%'}"
Шуба из искусственного меха оверсайз тедди,10219,603,4.8,"{'Размер на модели': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '90-60-90', 'Утеплитель': 'без утеплителя', 'Температурный режим': 'до -15 градусов мороза', 'Страна производства': 'Китай', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'ветрозащита', 'Декоративные элементы': 'ремешок', 'Тип карманов': 'глубокие', 'Сезон': 'зима; демисезон', 'Артикул': '17248274', 'Состав': 'шерсть 20%, полиэстер 80%, искусственный мех, экомех'}"
Пуховик длинный приталенный,13634,477,4.7,"{'Цвет': 'черный; бежевый; черный каменный; глубокий черный; кофейная роза', 'Размер на модели': '42 ( 173 рост )', 'Рост модели на фото': '173 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '84-66-92', 'Утеплитель': 'Био-Пух', 'Температурный режим': 'от 0 до - 30 С', 'Плотность синтетического утеплителя': '400 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'Полиэстер -100%', 'Вид застежки': 'кнопки и молния', 'Опции капюшона': 'не съемный', 'Опции опушки': 'Без опушки и меха', 'Тип карманов': 'В шве, скрытые карманы', 'Сезон': 'зима', 'Артикул': '118074971', 'Состав': 'полиэстер 100%'}"
"Пуховик зимний длинный с капюшоном, пальто куртка",6914,600,4.8,"{'Цвет': 'серо-зеленый', 'Размер на модели': '42', 'Рост модели на фото': '168 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '88-66-92', 'Утеплитель': 'синтепух', 'Температурный режим': 'до -25С', 'Плотность синтетического утеплителя': '280 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Особенности модели': 'ветрозащита', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'шеврон', 'Тип карманов': 'глубокий с замком', 'Сезон': 'зима', 'Артикул': '114528041', 'Состав': 'полиэстер 100%'}"
Куртка барашек двухсторонняя ADIDAS,3360,69,4.3,"{'Цвет': 'белый; бежевый', 'Утеплитель': 'искусственный мех', 'Температурный режим': 'до -10', 'Материал подкладки': 'Искусственный мех - 100%', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'Ветрозащита, трендовая модель', 'Опции капюшона': 'без капюшона', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'adidas', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон; зима', 'Артикул': '183326312'}"
Куртка,4031,540,4.7,"{'Цвет': 'графит', 'Утеплитель': 'полиэстер', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'нет', 'Декоративные элементы': 'без элементов', 'Тип карманов': 'с отрезным бочком', 'Сезон': 'демисезон', 'Артикул': '176595357', 'Состав': 'полиэстер 100%'}"
Пальто зимнее меховое длинное шерсть,6144,342,4.4,"{'Размер на модели': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '89-64-90', 'Утеплитель': 'шерсть; синтепон', 'Температурный режим': 'от +5 °C до -10 °C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'пуговицы; скрытые пуговицы', 'Особенности модели': 'Пальто женское зимнее', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '111 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'Разрезы', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'пояс', 'Сезон': 'круглогодичный; демисезон', 'Артикул': '184516554', 'Состав': 'шерсть 75%, вискоза 20%, эластан 5%, экомех'}"
Пуховик зимний с капюшоном,10800,1,5,"{'Размер на модели': 'М', 'Рост модели на фото': '172 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '92-62-91', 'Утеплитель': '90% пух; 10% перо', 'Температурный режим': 'до - 20 градусов', 'Страна производства': 'Китай', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'оверсайз', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'съемная опушка', 'Декоративные элементы': 'натуральный мех', 'Тип карманов': 'прорезные', 'Сезон': 'зима; демисезон', 'Артикул': '197979377', 'Состав': 'полиэстер, 90% пух, 10% перо'}"
Пальто,13600,,Нет оценок,"{'Размер на модели': '46', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'до -10', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Турция', 'Вид застежки': 'пуговицы', 'Особенности модели': 'большие размеры, для высоких, для невысоких, подарки мужчинам, полупальто, для мальчика, подростка', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '100 см', 'Опции опушки': 'без опушки', 'Тип карманов': 'прорезные', 'Сезон': 'зима; демисезон', 'Артикул': '198452726', 'Состав': 'Шерсть 75%, Полиэстер 25%'}"
Пуховик,10191,50,4.8,"{'Цвет': 'синий', 'Утеплитель': 'пух', 'Страна производства': 'Китай', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'каждый день', 'Декоративные элементы': 'без элементов', 'Сезон': 'зима', 'Артикул': '177307845', 'Состав': 'полиэстер, утиный пух серый, утиное перо серое'}"
Куртка с капюшоном удлиненная y2k,2760,632,4.3,"{'Размер на модели': 'M', 'Рост модели на фото': '165 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '82-61-90', 'Утеплитель': 'синтепон', 'Температурный режим': '-15', 'Плотность синтетического утеплителя': '250 г/кв.м', 'Материал подкладки': 'синтепон', 'Страна производства': 'Китай', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'ветрозащита и влагозащита', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон', 'Артикул': '177609264', 'Состав': 'Полиэстер - 100%'}"
Пальто,13600,18,4.4,"{'Цвет': 'серый', 'Размер на модели': '46', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'до -15', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Турция', 'Вид застежки': 'пуговицы', 'Особенности модели': 'большие размеры, для высоких, для невысоких, подарки мужчинам, полупальто, для мальчика, подростка', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '100 см', 'Опции опушки': 'без опушки', 'Тип карманов': 'прорезные', 'Сезон': 'зима; демисезон', 'Артикул': '178177677', 'Состав': 'Шерсть 75%, Полиэстер 25%'}"
Пуховик зимний длинный с капюшоном,4470,490,4.7,"{'Цвет': 'черный', 'Размер на модели': '48', 'Рост модели на фото': '180 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '80-98-95', 'Утеплитель': 'холлофайбер', 'Температурный режим': 'от 0 °C до -30 °C', 'Плотность синтетического утеплителя': '350 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'стеганый', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'влагостойкий', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон; зима', 'Артикул': '178084730', 'Состав': 'полиэстер'}"
Пуховик длинный зимний с капюшоном,11520,251,4.7,"{'Цвет': 'серый', 'Размер на модели': '56', 'Рост модели на фото': '175 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '116-100-124', 'Утеплитель': 'синтепон 250 гр/м2', 'Температурный режим': '0°С до -25°С.', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Страна производства': 'Россия', 'Материал подкладки': 'полиэстер', 'Вид застежки': 'молния', 'Особенности модели': 'пуховик с молниями по краям, стеганый с карманами', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'молнии по боковым швам', 'Тип карманов': 'Прорезанные боковые', 'Сезон': 'зима', 'Артикул': '189483568', 'Состав': 'полиэстер 100%'}"
